"Name","DistinguishedName","OperatingSystem","OperatingSystemServicePack","OperatingSystemVersion"
"TOM-LOG-WW-03","CN=TOM-LOG-WW-03,OU=Computers_LOG,OU=Logistics,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-FIN-WN-01","CN=CO-FIN-WN-01,OU=Computers_FIN,OU=Treasury,OU=Financial,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-COM-WW-138","CN=CO-COM-WW-138,OU=Computers_COM,OU=Commercial,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-IT-WW-01","CN=CO-IT-WW-01,OU=Computers_IT,OU=Informational Technologies,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-IT-WN-10","CN=CO-IT-WN-10,OU=Computers_IT,OU=Informational Technologies,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-LOG-WW-02","CN=CO-LOG-WW-02,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-JUR-WW-01","CN=CO-JUR-WW-01,OU=Computers_JUR,OU=Juridical,OU=Financial,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-IT-WW-41","CN=CO-IT-WW-41,OU=Permanently disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-IT-WW-22","CN=CO-IT-WW-22,OU=Permanently disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-FIN-WW-08","CN=CO-FIN-WW-08,OU=Computers_FIN,OU=Treasury,OU=Financial,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-AUD-WW-05","CN=CO-AUD-WW-05,OU=Computers_AUD,OU=Audit,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-COM-WW-39","CN=CO-COM-WW-39,OU=Computers_COM,OU=Commercial,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-BUH-WW-25","CN=CO-BUH-WW-25,OU=Computers_BUH,OU=Accounting,OU=Financial,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-IT-WW-17","CN=CO-IT-WW-17,OU=Permanently disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-COM-WN-57","CN=CO-COM-WN-57,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-IT-WN-41","CN=CO-IT-WN-41,OU=Computers_IT,OU=Informational Technologies,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 8.1 Профессиональная",,"6.3 (9600)"
"CO-ADM-WN-01","CN=CO-ADM-WN-01,OU=Computers_ADM,OU=Administration_support,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-COM-WW-83","CN=CO-COM-WW-83,OU=Computers_COM,OU=Commercial,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-IT-WW-21","CN=CO-IT-WW-21,OU=Permanently disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-FIN-WW-02","CN=CO-FIN-WW-02,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-BUH-WW-41","CN=CO-BUH-WW-41,OU=Computers_BUH,OU=Accounting,OU=Financial,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-JUR-WW-09","CN=CO-JUR-WW-09,OU=Computers_JUR,OU=Juridical,OU=Financial,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-COM-WW-59","CN=CO-COM-WW-59,OU=Computers_COM,OU=Commercial,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-COM-WW-173","CN=CO-COM-WW-173,OU=Computers_COM,OU=Commercial,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-COM-WN-61","CN=CO-COM-WN-61,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-COM-WW-55","CN=CO-COM-WW-55,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-HR-WW-19","CN=CO-HR-WW-19,OU=Computers_HR,OU=Human Resources,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-HR-WW-02","CN=CO-HR-WW-02,OU=Computers_HR,OU=Human Resources,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-COM-WN-70","CN=CO-COM-WN-70,OU=Computers_COM,OU=Commercial,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-COM-WW-66","CN=CO-COM-WW-66,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-ADM-WW-06","CN=CO-ADM-WW-06,OU=Computers_ADM,OU=Administration_support,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-IT-WN-32","CN=CO-IT-WN-32,OU=Permanently disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-COM-WW-57","CN=CO-COM-WW-57,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-BUH-WW-48","CN=CO-BUH-WW-48,OU=Computers_BUH,OU=Accounting,OU=Financial,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-FIN-WW-03","CN=CO-FIN-WW-03,OU=Computers_FIN,OU=Treasury,OU=Financial,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-RAZ-WW-23","CN=CO-RAZ-WW-23,OU=Computers_RAZ,OU=Development,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-BUH-WW-61","CN=CO-BUH-WW-61,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-AUD-WN-02","CN=CO-AUD-WN-02,OU=Computers_AUD,OU=Audit,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-LOG-WW-31","CN=CO-LOG-WW-31,OU=Computers_LOG,OU=Logistics,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-BUH-WW-51","CN=CO-BUH-WW-51,OU=Computers_BUH,OU=Accounting,OU=Financial,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-LOG-WW-46","CN=CO-LOG-WW-46,OU=Computers_LOG,OU=Logistics,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"TOM-LOG-WW-02","CN=TOM-LOG-WW-02,OU=Computers_LOG,OU=Logistics,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-HR-WW-09","CN=CO-HR-WW-09,OU=Computers_HR,OU=Human Resources,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-ADM-WN-07","CN=CO-ADM-WN-07,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-FIN-WW-07","CN=CO-FIN-WW-07,OU=Computers_FIN,OU=Treasury,OU=Financial,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-FIN-WN-17","CN=CO-FIN-WN-17,OU=Permanently disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-COM-WW-11","CN=CO-COM-WW-11,OU=Computers_COM,OU=Commercial,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-IT-WW-28","CN=CO-IT-WW-28,OU=Computers_IT,OU=Informational Technologies,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-LOG-WW-42","CN=CO-LOG-WW-42,OU=Computers_LOG,OU=Logistics,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-COM-WW-143","CN=CO-COM-WW-143,OU=Computers_COM,OU=Commercial,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-RAZ-WW-04","CN=CO-RAZ-WW-04,OU=Computers_RAZ,OU=Development,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-LOG-WW-09","CN=CO-LOG-WW-09,OU=Computers_LOG,OU=Logistics,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-COM-WW-119","CN=CO-COM-WW-119,OU=Computers_COM,OU=Commercial,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-LOG-WW-17","CN=CO-LOG-WW-17,OU=Computers_LOG,OU=Logistics,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-ADM-WW-20","CN=CO-ADM-WW-20,OU=Computers_ADM,OU=Administration_support,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-LOG-WW-45","CN=CO-LOG-WW-45,OU=Computers_LOG,OU=Logistics,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-COM-WW-111","CN=CO-COM-WW-111,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-BUH-WW-54","CN=CO-BUH-WW-54,OU=Computers_BUH,OU=Accounting,OU=Financial,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-COM-WN-53","CN=CO-COM-WN-53,OU=Computers_COM,OU=Commercial,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-LOG-WW-25","CN=CO-LOG-WW-25,OU=Computers_LOG,OU=Logistics,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-COM-WW-74","CN=CO-COM-WW-74,OU=Computers_COM,OU=Commercial,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-COM-WW-177","CN=CO-COM-WW-177,OU=Computers_COM,OU=Commercial,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-IT-WN-24","CN=CO-IT-WN-24,OU=Computers_IT,OU=Informational Technologies,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-COM-WW-64","CN=CO-COM-WW-64,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-COM-WW-10","CN=CO-COM-WW-10,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-SAL-WW-05","CN=CO-SAL-WW-05,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-COM-WN-38","CN=CO-COM-WN-38,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-COM-WW-175","CN=CO-COM-WW-175,OU=Computers_COM,OU=Commercial,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-BUH-WW-03","CN=CO-BUH-WW-03,OU=Computers_BUH,OU=Accounting,OU=Financial,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-COM-WW-84","CN=CO-COM-WW-84,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-ADM-WW-08","CN=CO-ADM-WW-08,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-BUH-WW-19","CN=CO-BUH-WW-19,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-COM-WW-16","CN=CO-COM-WW-16,OU=Computers_COM,OU=Commercial,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-AUD-WN-04","CN=CO-AUD-WN-04,OU=Computers_AUD,OU=Audit,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-LOG-WW-36","CN=CO-LOG-WW-36,OU=Computers_LOG,OU=Logistics,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-COM-WW-130","CN=CO-COM-WW-130,OU=Computers_COM,OU=Commercial,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-BUH-WW-17","CN=CO-BUH-WW-17,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-IT-WN-35","CN=CO-IT-WN-35,OU=Computers_IT,OU=Informational Technologies,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 8.1 Профессиональная",,"6.3 (9600)"
"CO-BUH-WW-73","CN=CO-BUH-WW-73,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-LOG-WW-01","CN=CO-LOG-WW-01,OU=Computers_LOG,OU=Logistics,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-COM-WW-25","CN=CO-COM-WW-25,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-LOG-WW-14","CN=CO-LOG-WW-14,OU=Permanently disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-AUD-WN-13","CN=CO-AUD-WN-13,OU=Computers_AUD,OU=Audit,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-BUH-WW-05","CN=CO-BUH-WW-05,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-IT-WW-46","CN=CO-IT-WW-46,OU=Computers_IT,OU=Informational Technologies,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-COM-WW-141","CN=CO-COM-WW-141,OU=Computers_COM,OU=Commercial,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-COM-WW-87","CN=CO-COM-WW-87,OU=Computers_COM,OU=Commercial,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-JUR-WW-02","CN=CO-JUR-WW-02,OU=Permanently disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-COM-WW-37","CN=CO-COM-WW-37,OU=Computers_COM,OU=Commercial,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-COM-WW-85","CN=CO-COM-WW-85,OU=Computers_COM,OU=Commercial,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-COM-WW-41","CN=CO-COM-WW-41,OU=Computers_COM,OU=Commercial,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-COM-WW-92","CN=CO-COM-WW-92,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-RAZ-WW-22","CN=CO-RAZ-WW-22,OU=Permanently disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-COM-WW-20","CN=CO-COM-WW-20,OU=Computers_COM,OU=Commercial,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-COM-WW-152","CN=CO-COM-WW-152,OU=Computers_COM,OU=Commercial,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-COM-WN-23","CN=CO-COM-WN-23,OU=Computers_COM,OU=Commercial,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-BUH-WW-13","CN=CO-BUH-WW-13,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-RAZ-WN-13","CN=CO-RAZ-WN-13,OU=Computers_RAZ,OU=Development,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-COM-WW-71","CN=CO-COM-WW-71,OU=Computers_COM,OU=Commercial,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"LIP2-MED-WW-01","CN=LIP2-MED-WW-01,OU=Lipetsk2,OU=Chernozeme,OU=Moskva-Tsentr,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"krs3-vid-ww-01","CN=krs3-vid-ww-01,OU=Kursk3,OU=Tsentr-1,OU=Moskva-Tsentr,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"MGN1-MED-WW-01","CN=MGN1-MED-WW-01,OU=Magnitogorsk1,OU=Ural-2,OU=Sibir - Ural,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"TVR2-VID-WW-01","CN=TVR2-VID-WW-01,OU=Tver2,OU=Moskva - 1,OU=Moskva-Tsentr,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"VOL5-MED-WW-01","CN=VOL5-MED-WW-01,OU=Volgograd5,OU=Iug-2,OU=Iug,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"AST1-VID-WW-01","CN=AST1-VID-WW-01,OU=Astrakhan1,OU=Iug-3,OU=Iug,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"ekb7-vid-ww-01","CN=ekb7-vid-ww-01,OU=Ekaterinburg7,OU=Ural-2,OU=Sibir - Ural,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"TAM3-VID-WW-01","CN=TAM3-VID-WW-01,OU=Tambov3,OU=Chernozeme,OU=Moskva-Tsentr,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"SP14-VID-WW-02","CN=SP14-VID-WW-02,OU=Saint_Peterburg14,OU=Sankt-Peterburg-1,OU=Sankt-Peterburg - Tsentr - Sever,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Корпоративная","Service Pack 1","6.1 (7601)"
"ORL1-MED-WW-01","CN=ORL1-MED-WW-01,OU=Orel1,OU=Tsentr-1,OU=Moskva-Tsentr,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
